close;high;low;open;time;volume
1.1116;1.11165;1.11145;1.11162;1724176200000;964.62
1.11174;1.11179;1.11156;1.1116;1724176800000;1578.52
1.11209;1.11211;1.11174;1.11175;1724177400000;2143.08
1.11211;1.11225;1.11206;1.11209;1724178000000;1172.21
1.11199;1.11214;1.11198;1.11212;1724178600000;2848.75
1.11209;1.11217;1.11199;1.112;1724179200000;2703.65
1.11206;1.11208;1.11193;1.11206;1724179800000;4624.45
1.11229;1.11232;1.11193;1.11206;1724180400000;1398.36
1.11252;1.11253;1.1122;1.11229;1724181000000;1864.75
1.11272;1.11273;1.11248;1.11251;1724181600000;1629.81
1.11255;1.11273;1.11255;1.11272;1724182200000;2070.04
1.11246;1.11262;1.11241;1.11256;1724182800000;2057.51
1.11245;1.11265;1.11244;1.11246;1724183400000;3374.06
1.11256;1.11258;1.11239;1.11248;1724184000000;921.62
1.1127;1.11277;1.11255;1.11256;1724184600000;1904.01
1.11289;1.11295;1.11273;1.11275;1724185200000;881.36
1.11292;1.11299;1.11288;1.11288;1724185800000;763.8
1.11287;1.11298;1.11286;1.11291;1724186400000;1392.47
1.11294;1.11304;1.11283;1.11286;1724187000000;2343.53
1.11268;1.11292;1.11236;1.1129;1724187600000;306.15
1.11287;1.11288;1.11268;1.11271;1724188200000;319.9
1.11286;1.11295;1.1127;1.11286;1724188800000;463.31
1.11281;1.1129;1.1128;1.11287;1724189400000;176.22
1.11286;1.11287;1.11279;1.11283;1724190000000;144.72
1.1129;1.11292;1.11285;1.11287;1724190600000;40.28
1.1128;1.11294;1.1126;1.1129;1724191200000;516.58
1.1128;1.11283;1.11275;1.11278;1724191800000;301.65
1.1129;1.11291;1.11276;1.11281;1724192400000;312.0
1.11278;1.11293;1.11274;1.11289;1724193000000;410.59
1.11274;1.11281;1.11273;1.11279;1724193600000;571.15
1.11285;1.11286;1.11273;1.11275;1724194200000;410.04
1.11276;1.11286;1.11268;1.11284;1724194800000;418.54
1.11289;1.11289;1.11274;1.11276;1724195400000;460.65
1.11301;1.11301;1.11288;1.1129;1724196000000;515.0
1.11304;1.11317;1.11295;1.113;1724196600000;493.7
